Дата,Текст,Просмотры
2025-08-07 12:33:06,"Junior GO разработчик  Компания: ABCP З/П: от 400 000₽ Формат работы: Удалённо Источник вакансии: HH  От Вас как кандидата требуется: - Опыт управления командой от 2 человек (junior/middle, QA) от 2 лет; - Опыт в разработке от 4 лет; - Golang, sql, git, брокеры - уровень middle+ и выше; - Знание цикла разработки; - Быть внимательным и поэтому в сопроводительном письме Вы напишете слово ""ping""; - Опыт с Linux, Docker, CI/CD; - Умение проектировать по C4-модели.  Плюсы работы у нас: - Почему вам может понравиться работать с нами: - Начали в 2005 году, и более 10 лет являемся примером для конкурентов. ABCP — это синоним доверия и качества среди всех участников рынка автозапчастей, потому что мы создаем надежные инструменты для эффективного развития их бизнеса. Из-за предыдущих пунктов наших сотрудников активно хантят более известные IT-компании, но сотрудники не всегда уходят, потому что им нравится, что у нас: - все работают над созданием реального и востребованного продукта, а не совещаются; - есть возможность развивать hard и soft-скиллы и сменить стек при желании; - компанией и командами руководят адекватные айтишники, а не эффективные менеджеры; - нет “звезд” (хотя есть таланты) и все общаются со всеми;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",373
2025-08-07 08:03:06,"Junior DevOps engineer  Компания: Бизнес Технологии З/П: от 100 000₽ Формат работы: Питер Источник вакансии: HH  Обязанности: - Участие в проектировании и разработки CI/CD инфраструктуры; - Автоматизация процессов сборки и запуска приложений; - Развертка и настройка демонстрационных стендов; - Аудит загруженности оборудования; - Анализ и устранение инцидентов; - Документирование своей работы.  Требования: Администрирование: Astra linux / Debian / Ubuntu. Желательно иметь навыки: - Postgresql; - Zabbix; - Jenkins; - Artifactory; - Gitlab; - VisualSVN Server.  Разработка: Bash, желательно знание Python. Основной стек технологий в компании: - Java, kotlin, scala, sql; - HTML, CSS, JavaScript, TypeScript; - Python; - Linux; - PostgreSQL.  Условия: - Динамично развивающаяся аккредитованная IТ-компания; - Интересные проекты по комплексной автоматизации крупных предприятий с возможностью постоянного роста квалификации; - Офисный формат работы в Санкт-Петербурге, Перми, Нижнем Новгороде, Вологде; - График: 5/2 с 9:00 до 18:00, в Перми с 10:00 до 19:00;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",721
2025-08-06 16:03:06,"Junior CRM-маркетолог  Компания: Mailfit З/П: от 50 000 до 65 000₽ Формат работы: Удалённо Источник вакансии: HH  Что нужно делать: - Вести 2-3 клиентских проекта с поддержкой наставника и руководителя. - Принимать бриф от заказчика, составлять план работы. - Ставить задачи копирайтерам, дизайнерам, верстальщикам, разработчикам, аналитикам. - Проверять качество работы специалистов на всех этапах, согласовывать задачи с клиентом. - Настраивать кампании: массовые и автоматические рассылки, формы сбора, push-уведомления. Платформы, которые мы используем: Mindbox, Sendsay, Enkod, RetailRocket, Mailganer, Unisender и другие. - Готовить регулярные отчеты и предложения по дальнейшей работе для клиентов. - Общаться с заказчиками в совместных чатах, а также проводить онлайн-встречи с видео.  Что ждем от тебя: - Опыт в сфере маркетинга от 4–6 месяцев. - Знание предметной области: как устроен интернет-маркетинг, email-маркетинг. - Высокий уровень грамотности в русском языке. Умение грамотно изложить свои мысли как устно, так и письменно. - Высокий уровень ответственности за свою работу. Внимательность к деталям. - Дисциплина, умение управлять своим временем, пунктуальность. - Умение работать в плотной загрузке. - Наличие компьютера/ноутбука со стабильным интернетом. - Возможность работать 8 часов в день, не совмещая работу с учебой.  Что от нас: - Оклад от 50 000 до 65 000 на руки, точную сумму определяем после собеседования.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1028
2025-08-06 12:33:06,Junior Рекрутер  Компания: DCloud З/П: до 50 000₽ Формат работы: Удалённо Источник вакансии: HH  Что ты будешь делать: - Общаться с кандидатами и сопровождать их на всех этапах подбора. - Назначать и координировать собеседования. - Проводить холодный и теплый поиск кандидатов по различным направлениям.  Что мы ожидаем от тебя: - Желание развиваться в IT-направлении и учиться новому. - Высокие коммуникативные навыки и умение находить общий язык с разными людьми. - Стрессоустойчивость и способность работать в динамичной среде. - Грамотность и внимание к деталям.  Что мы предлагаем: - Удалённый формат работы из любой точки мира. - График работы 5/2 с 9 до 17.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру,1193
2025-08-06 08:03:06,"Junior Game Designer  Компания: Crazy Panda З/П: от 80 000₽ Формат работы: Удалённо Источник вакансии: HH  Crazy Panda - разработчик мобильных игр в различных жанрах и сеттингах. С 2010 года мы создаем игры, в которые нравится играть нам и 165 млн игрокам по всему миру. Присоединяйся к нам, go crazy with panda!  World Poker Club - флагманский продукт и лидер в жанре казуального покера на территории РФ и СНГ, так же завоевавший аудиторию лояльных игроков по всему миру. Игра представлена на многих платформах - можно играть на iOS, Android и Huawei, в социальных сетях, в web и десктоп версии.  За 13 лет активной разработки проекта мы внедрили множество фичей, разнообразив опыт игрока 3D-аватарами, турнирами и сопутствующими механиками. Баттл-пассы, ""копилка"" и новые скины для персонажей - это только малая часть нашего амбициозного бэклога, который пополняется новыми идеями на основе анализа конкурентов и трендов игр.  Сейчас мы ищем Jr Game Designer, который погрузится в проект и займется непосредственной реализацией ивентов и добавлением нового контента, безусловно под руководством опытных гейм-дизайнеров.  Основные направления работы: - Балансировка ивентов, турниров и офферов; - Ведение гейм-дизайнерской документации; - Участие в работе над новыми фичами и механиками; - Анализ игр в схожих жанрах и предложение идей с аргументацией; - Плотная работа с Lead GD и командой проекта.  Для нас важно: - Уверенные знания статистики и теории вероятностей; - Знание основных метрик мобильных игр; - Умение делиться своими мыслями и аргументировать их; - Знание правил покера, опыт игры в казуальный покер будет плюсом; - Широкий кругозор в мобильных играх; - Стремление развиваться в гейм-дизайне. - Будет плюсом - опыт аналогичной работы или опыт в аналитике\статистике.  Условия работы: - Работа над игрой с многомиллионной аудиторией; - Возможность прокачаться в гейм-дизайне и применении математики в работе; - Наставничество от Ведущего гейм-дизайнера проекта; - Стабильную официальную зарплату без задержек; - Работу удаленно или в гибридном формате, гибкое начало рабочего дня; - Частичную компенсацию ДМС, стоматологии и спортивных абонементов; - Бесплатное обучение английскому в группе для разных уровней; - Бюджет на профессиональное обучение и посещение конференций; - Корпоративы, онлайн-мероприятия, кибер-турниры, крутой мерч.  → Откликнуться на вакансию  ———  🧑‍💻 Джун разработчикам 🫶 Стажировки 😶 Джунам менеджерам 💙 Мемы и удаленка 💚 Качнуть карьеру",1242
2025-08-05 12:33:06,"Junior аналитик  Компания: ABCP З/П: от 170 000₽ Формат работы: Удалённо Источник вакансии: HH  Обязанности: - Интервьюировать заказчиков/пользователей, выявлять и собирать требования; - Прорабатывать варианты оптимизации текущего функционала и предлагать решения возникающих проблем; - Анализировать и документировать требования; - Планировать RoadMap и вести бэклог; - Выступать связующим звеном между разработкой и Заказчиком со всеми вытекающими; - Прототипировать интерфейсы и проектировать бизнес-процессы; - Тестировать и внедрять результаты разработки.  Требования: - Опыт работы в качестве системного аналитика не менее 1 года; - Знание архитектурных подходов для проектирования высоконагруженных автоматизированных систем; - Представление о форматах данных, применяемых в веб: XML, HTML, JSON, WSDL; - Внимательность, и поэтому в сопроводительном письме вы напишете слово ""ping""; - Понимание способов взаимодействия браузера и сервера: куки, сессии, HTTP, AJAX, сокеты; - Знания в области технологий: REST, SOAP, SQL, шифрование, балансировка нагрузки; - Примеры самостоятельно разработанных ТЗ, алгоритмов, интерфейсов; - Высокая коммуникабельность.  Плюсы работы у нас: - Почему вам может понравиться работать с нами: - Начали в 2005 году, и более 10 лет являемся примером для конкурентов. ABCP — это синоним доверия и качества среди всех участников рынка автозапчастей, потому что мы создаем надежные инструменты для эффективного развития их бизнеса.  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1502
2025-08-05 08:03:06,"Junior QA Engineer  Компания: Top App Games З/П: не указана Формат работы: Удалённо Источник вакансии: HH  Чем предстоит заниматься: - участвовать в обеспечении качества на всех этапах разработки; - писать и поддерживать актуальность тестовой документации - разрабатывать тест-кейсы и чек-листы; - проводить функциональное и нефункциональное тестирование игровых механик и продукта в целом; - участвовать в планировании нового функционала в проекте, анализировать новую документацию от геймдизайнеров.  Мы ожидаем от тебя: - опыт тестирования мобильных игр (iOS и Android) от 0,5 года; - понимания принципов обеспечения качества в игровом проекте; - умение работать с системами контроля версий (Git); - умение работать с тестовыми инструментарием.  Будет плюсом: - богатый игровой опыт, любовь к геймдеву, желание развиваться в сфере тестирования; - техническое образование.  Мы предлагаем: - возможность работать удаленно из любой точки мира; - высокий уровень заработной платы, определяется по итогам собеседования; - амбициозный проект, интересные и сложные задачи;  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1533
2025-08-04 17:33:01,"Junior Project Manager  Компания: Pride Games Studio З/П: не указана Формат работы: Питер  Источник вакансии: HH  Pride Games Studio — это команда единомышленников, увлеченных общей целью и любовью к играм. Мы создаем мобильные игры в жанре top down shooter, экшен-RPG.  Мы знаем, что за успешными проектами стоят конкретные люди, поэтому ищем тех, кто готов нас усилить. Нашего будущего коллегу ждет нацеленная на результат команда, реальная возможность расти вместе с компанией и влиять на создание игровых миров.  Чем предстоит заниматься: - Координацией команды; - Планированием, постановкой и контролем выполнения задач команд, согласованием приоритетов; - Контроль прогресса по задачам; - Отчетностью по проекту; - Ассистирование CEO.  Большим плюсом будет: - Осознанный выбор Gamedev сферы, неподдельный интерес; - Ответственность и системность в работе; - Умение работать в режиме многозадачности.  Мы предлагаем: - Возможности профессионального развития и карьерного роста; - Трудоустройство по ТК РФ с первого рабочего дня, - 100% оплата больничного; - Заработная плата зависит от навыков и ожиданий; - Гибкое начало рабочего дня - до 11:00; - 3 дополнительных day off в год; - Комфортный офис в пешей доступности от м. Приморская.  → Откликнуться на вакансию   ———  🧑‍💻 Джун разработчикам 🫶 Стажировки 😶 Джунам менеджерам 💙 Мемы и удаленка 💚 Качнуть карьеру",1671
2025-08-04 14:33:01,"От джуна до уверенного специалиста — осваивайте востребованные навыки на оплачиваемой программе развития МТС ПРО и стройте карьеру аналитика или инженера по сетям и облачным технологиям!  Почему это крутой старт? — Зарплата от 90 000 до 115 000 рублей (до вычета налогов) в зависимости от трека, за классные результаты работы ее могут повысить в течение программы.  — Гибридный график: три дня в офисе и два — удаленно. — Практический опыт на реальных проектах.  — Наставничество опытных менторов и поддержка команды.  Начинайте карьеру с МТС ПРО — выбирайте трек и поднимайте свой экспертный уровень вместе с лучшими! Регистрируйтесь: https://u.to/llBSIg  ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1711
2025-08-04 12:33:01,"Junior FullStack разработчик  Компания: КОРТЕОС З/П: от 120 000 до 150 000₽ Формат работы: Питер Источник вакансии: HH  Обязанности: - Создавать и сопровождать специализированные расширения на базе Corteos Platform; - Быть готовым к работе в качестве full-stack разработчика (разрабатывать как frontend, так и backend, а также вникать в бизнес-логику и ранее написанный код и учиться на нем)  Требования: - Владение C#, .NET 6.0; - Реляционные БД (MS SQL Server, PostgreSQL) - иметь базовые знания/курсы, остальному научим в процессе; - Базовые знания JS, Vue.js, HTML, SCSS; - Умение или готовность активно учиться комментировать и документировать код таким образом, чтобы комментарии были не “для галочки”, а в будущем помогли реализации и масштабированию; - Базовые знания о средстве управления версиями git; - Базовые знания разработки модульных тестов (Unit test) - опыт работы от 1 года до 3-х лет  Будет плюсом, если есть: - Понимание жизненного цикла процесса внедрения ПО (этапность проекта, перечень работ и отчетных документов); - Понимание принципов работы механизмов аутентификации и авторизации SSO; - Навыки интеграции со сторонними API (партнеры, поставщики данных);  → Откликнуться на вакансию   ———  🫶 Стажировки 🧑‍💻 Джун разработчикам 😶 Джун менеджерам 🐱 Джун маркетологам 💙 Мемы и удаленка 💚 Качнуть карьеру",1616
